# Time(seconds),Temperature(Celsius),Humidity(%)
08/13/2023 22:04:09|52|20.7|21.7|75|
08/13/2023 22:45:08|51|20.8|21.7|75|
08/13/2023 23:45:07|51|20.6|21.7|75|
08/14/2023 00:45:05|51|21.3|21.7|73|
08/14/2023 01:45:05|51|21|21.7|70|
08/14/2023 02:45:04|51|21|21.7|73|
08/14/2023 03:45:09|51|20.8|21.7|75|
08/14/2023 04:45:05|51|20.8|21.7|75|
08/14/2023 05:45:05|51|21.3|21.7|75|
08/14/2023 06:45:06|51|21|21.7|78|
08/14/2023 07:45:05|51|21.3|22.2|73|
08/14/2023 08:45:04|51|21.3|22.8|73|
08/14/2023 09:45:05|51|20.8|23.3|71|
08/14/2023 10:45:07|53|21.3|23.9|68|
08/14/2023 11:45:05|52|21.2|23.9|68|
08/14/2023 12:45:05|53|21.3|21.7|84|
08/14/2023 13:45:05|55|21.3|21.7|86|
08/14/2023 14:45:04|53|20.8|21.7|86|
08/14/2023 15:45:04|56|21.5|21.7|86|
08/14/2023 16:45:05|55|21.2|21.1|87|
08/14/2023 17:45:05|54|21.2|20.0|96|
08/14/2023 18:45:04|54|21.5|18.9|87|
08/14/2023 19:45:04|52|21|18.9|89|
08/14/2023 20:45:04|54|21.5|18.9|87|
08/14/2023 21:45:07|52|21|18.9|89|
08/14/2023 22:45:05|52|21.3|18.9|89|
08/14/2023 23:45:04|52|21|18.3|90|
08/15/2023 00:45:04|52|21.3|17.8|93|
08/15/2023 01:45:04|53|21.2|17.8|96|
08/15/2023 02:45:05|51|20.8|18.3|93|
08/15/2023 03:45:04|53|20.8|17.8|93|
08/15/2023 04:45:04|53|21.3|17.2|93|
08/15/2023 05:45:06|53|21.3|16.7|96|
08/15/2023 06:45:05|||18.3|84|
08/15/2023 07:45:05|54|21.2|17.8|89|
08/15/2023 08:45:05|54|21.3|19.4|84|
08/15/2023 09:45:05|54|21.3|19.4|81|
08/15/2023 10:45:05|54|21.2|18.9|83|
08/15/2023 11:45:05|54|21.3|20.6|75|
08/15/2023 12:45:04|55|21.3|22.2|66|
08/15/2023 13:45:10|53|21.1|22.2|66|
08/15/2023 14:45:05|55|21.3|22.8|61|
08/15/2023 15:45:07|55|21.2|23.9|49|
08/15/2023 16:45:05|55|21.5|25.6|41|
08/15/2023 17:45:05|54|21.3|25.0|41|
08/15/2023 18:45:05|52|21.2|25.0|43|
08/15/2023 19:45:06|58|21.3|23.3|48|
08/15/2023 20:45:07|55|21.5|20.6|58|
08/15/2023 21:45:05|55|21.2|20.0|63|
08/15/2023 22:45:07|55|21.1|19.4|67|
08/15/2023 23:45:11|54|21.3|17.8|77|
08/16/2023 00:45:04|54|21.3|16.7|80|
08/16/2023 01:45:05|53|20.8|16.7|77|
08/16/2023 02:45:04|53|21.3|16.7|77|
08/16/2023 03:45:04|54|21.3|16.1|80|
08/16/2023 04:45:07|53|21.1|16.1|80|
08/16/2023 05:45:04|54|21.1|15.6|83|
08/16/2023 06:45:04|54|21.3|15.6|83|
08/16/2023 07:45:05|53|21.2|16.7|77|
08/16/2023 08:45:05|53|21|18.9|69|
08/16/2023 09:45:05|53|21.3|21.7|58|
08/16/2023 10:45:05|53|21.2|23.3|53|
08/16/2023 11:45:09|53|21.3|25.0|48|
08/16/2023 12:45:06|52|21.2|25.6|48|
08/16/2023 13:45:05|51|21.2|27.2|47|
08/16/2023 14:45:05|54|21.5|27.2|47|
08/16/2023 15:45:06|52|21.2|27.8|47|
08/16/2023 16:45:09|56|21.2|27.8|45|
08/16/2023 17:45:06|54|21.3|27.2|47|
08/16/2023 18:45:06|54|21.3|26.7|48|
08/16/2023 19:45:05|54|21.2|26.1|50|
08/16/2023 20:45:08|54|21.2|25.0|53|
08/16/2023 21:45:08|53|21.3|23.9|57|
08/16/2023 22:45:06|52|21.2|22.8|63|
08/16/2023 23:45:12|54|21.2|22.8|61|
08/17/2023 00:45:06|53|21.5|22.2|61|
08/17/2023 01:45:05|52|21|21.7|63|
08/17/2023 02:45:04|52|21.1|21.1|65|
08/17/2023 03:45:05|53|21.3|21.7|63|
08/17/2023 04:45:07|50|20.7|21.7|63|
08/17/2023 05:45:05|52|20.8|21.1|65|
08/17/2023 06:45:11|52|20.8|21.1|68|
08/17/2023 07:45:04|52|20.7|18.9|87|
08/17/2023 08:45:08|53|20.8|18.9|89|
08/17/2023 09:45:04|53|20.7|19.4|90|
08/17/2023 10:45:05|54|20.7|20.0|89|
08/17/2023 11:45:06|54|20.8|23.3|76|
08/17/2023 12:45:06|53|21|26.1|52|
08/17/2023 13:45:05|52|20.7|26.7|39|
08/17/2023 14:45:04|50|21|26.7|42|
08/17/2023 15:45:04|52|20.8|25.6|45|
08/17/2023 16:45:04|52|20.2|24.4|48|
08/17/2023 17:45:09|51|20.6|23.9|46|
08/17/2023 18:45:10|51|20.8|22.8|49|
08/17/2023 19:45:05|51|20.8|22.8|51|
08/17/2023 20:45:05|51|20.5|21.1|54|
08/17/2023 21:45:05|51|20.6|20.6|56|
08/17/2023 22:45:07|53|20.7|19.4|61|
08/17/2023 23:45:08|53|20.8|18.3|65|
08/18/2023 00:45:06|53|20.8|18.3|65|
08/18/2023 01:45:07|53|20.5|17.2|70|
08/18/2023 02:45:06|||16.7|72|
08/18/2023 03:45:06|53|20.8|16.1|75|
08/18/2023 04:45:06|53|20.7|15.0|77|
08/18/2023 05:45:07|53|21.3|15.0|80|
08/18/2023 06:45:07|53|21|15.6|74|
08/18/2023 07:45:05|53|21|15.6|77|
08/18/2023 08:45:05|53|20.8|17.8|69|
08/18/2023 09:45:05|53|20.7|20.0|60|
08/18/2023 10:45:06|53|20.8|22.2|55|
08/18/2023 11:45:07|51|20.6|23.3|46|
08/18/2023 12:45:11|51|21|23.9|43|
08/18/2023 13:45:10|51|21|24.4|37|
08/18/2023 14:45:06|48|20.8|25.6|37|
08/18/2023 15:45:08|47|20.5|25.0|37|
